Name,Ticker,Creator Name,"Was the token, or underlying token, minted with the creator's consent?  ",Has the creator since blessed the token?,Does the project have IP rights?,Was the token intended to be traded?,Does the project have a continuing relationship with the creator?,Has this meme been minted in any other format not directly linked to this token?,Is the origin of the meme a physical artwork?,Is the token the original source of the content?,"Is there any reason to suspect insider trading by the team, or that they unfairly coerced the creator?",Are there any doubts about the authenticity of the creator's verification?,Does the subject of the meme have the capacity to represent their own interests?,"If not, do we feel they have been represented fairly?",Discretionary Provenance Grade,Meme popularity,Fair launch & distribution score,ATH marketcap for an unofficial token of this subject,Overall discretionary grade,Creator social media (# if unknown),"Chains (, to separate chains, origin chain first)","CA (, to separate chains, order matters)",Decimals,Project socials,Launch date,Provenance proof,Name(s) of onboarding agent(s),Column 39,category,Note,Website Link,X Link,TG Link,Discord Link,Image Link (prefer IPFS),Listed on index?,ID / Slug (TOKEN),Description (max. 90 characters),Tags (categories),Tags (provenance),Proofs,"Block Origin (block, separate with ,)",Column 44,Column 45
,$FORTHECHILDREN,Ghostface Killah,Yes,,,,,,,,,,,,,,,,,https://x.com/GhostfaceKillah,Solana,4f6caebd-660d-4c6e-9aad-44ec05dbba1b,,,6/12/2024,,,,Celebrity,,,,,,,,,,,,,,,
,$PRESI,Sexyy Red,Yes,,,,,,,,,,,,,,,,,https://x.com/SexyyRed314_,Solana,14o8ZXUMjhEvxtQTyEk5RRBYH98N7TqNeX7WHoEtSsUp,,https://x.com/sexyyred314_,7/1/2024,,,,Celebrity,,,,,,,,,,,,,,,
,$JENNER,Caitlyn Jenner,Yes,,,,,,,,,,,,,,,,,https://x.com/Caitlyn_Jenner,Ethereum,0x482702745260Ffd69FC19943f70cFFE2caCd70e9,,https://x.com/jennercoineth,5/29/2024,,,,Celebrity,,,,,,,,,,,,,,,
,$CTESPN,Antonio Brown,Yes,,,,,,,,,,,,,,,,,https://x.com/AB84,Solana,2w54J91wGp772JsquNaqZCZDFRsT8Q8qNU6Qcdb2oLu,,,5/27/2024,,,,Celebrity,,,,,,,,,,,,,,,
,$FUR,Antonio Brown,Yes,,,,,,,,,,,,,,,,,https://x.com/AB84,,,,https://x.com/Bookoffur,,,,,Celebrity,,,,,,,,,,,,,,,
,Confessions from the Hart CFTH,Kevin Hart,Yes,,,,,,,,,,,,,,,,,https://x.com/KevinHart4real,,0x8Da6CE566Baa99c9c746f7969F231bb24DF1416c,,https://x.com/Moonwalk,7/6/2022,,,,Celebrity,,,,,,,,,,,,,,,
Lil Pump,$LILPUMP,Lil Pump,Yes,N/A,,,,,,No,,,,,,,,,,https://x.com/lilpump,Solana,9vrGUHwsC8LyLjQoh3zJb9S53x7A88u49La63qPB6F5t,6,,5/29/2024,,,,Celebrity,,https://www.lilpump.fun/,https://x.com/lilpump,https://t.me/LilPumpCTO,,,Yes,lil-pump,"Official celebrity token of rapper and internet icon, Lil Pump.",CELEBRITY,BLESS,,268736574,,
Jason Derulo,$JASON,Jason Derulo,Yes,N/A,,,,,,No,,,,,,,,,,https://x.com/jasonderulo,Solana,6SUryVEuDz5hqAxab6QrGfbzWvjN8dC7m29ezSvDpump,6,https://x.com/jasonderulo,6/23/2024,,,,Celebrity,,,https://x.com/jasonderulo,https://t.me/jasonfamilyportal,,,Yes,jason-derulo,"Official memecoin of pop artist and entertainer, Jason Derulo.",CELEBRITY,BLESS,,273517051,,
Rich The Kid,$RICH,Rich the Kid,Yes,N/A,,,,,,,,,,,,,,,,https://x.com/richthekid,Solana,A2PVd9wmEk9Ek9MFbF6VVBm4UiGYK24TCmE5oR2WDWGH,6,https://x.com/richthekid,5/27/2024,,,,Celebrity,,https://richonsol.io/,https://x.com/richthekid,https://t.me/ITSRICHFOREVER,,,Yes,rich-the-kid,"The endorsed celebrity token of hip-hop star, Rich The Kid.",CELEBRITY,BLESS,,268328805,,
Iggy Azalea,$MOTHER,Iggy Azalea,Yes,N/A,,,,,,,,,,,,,,,,https://x.com/IGGYAZALEA,Solana,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,6,https://x.com/MOTHERprovides,5/28/2024,https://x.com/IGGYAZALEA,,,Celebrity,,https://www.mother.fun/,https://x.com/MOTHERprovides,https://t.me/MOTHERprovides,,https://pbs.twimg.com/media/Ge4Ip2FWAAAvTpF?format=jpg&name=medium,Yes,mother,Iggy Azalea’s celebrity coin with perks across her digital and real-world ventures.,CELEBRITY,CREATOR,,268506760,,
dash_eats,$DASHA ,Dasha Nekrasova,,,,,,,,,,,,,,,,,,https://x.com/dash_eats,Solana,53uxQtB9pcjWvCHguz3JTTndvuKqGxhrD37EetnCpump,,https://dasha.cam/,2/3/2025,https://x.com/dash_eats/status/1886436372569027054,,,Celebrity,Seems real - her biz partner $ANNA launched one later (see below),https://dasha.cam/,https://x.com/dash_eats,https://t.me/dashacommunity,,,,,"Dasha Nekrasova is an actress and writer, host of Red Scare podcast, known for The Scary of Sixty-First (2021), Succession (2018) and The Ghost Who Walks (2019) and soon to be aired The Materialists.",,,,,,
Anna Khachiyan Meme (ANNA),$ANNA,Anna Khachiyan,,,,,,,,,,,,,,,,,,https://x.com/annakhachiyan,Solana,AsCzbtFHxokNyoJr4xzoXXPmpGdcHnH275sC7frrpump,,https://x.com/annakhachiyan,2/11/2025,https://x.com/annakhachiyan/status/1889527332588888395,,,Celebrity,Her biz partner $DASHA launched one first.,https://www.patreon.com/RedScare,https://x.com/annakhachiyan,,,,,,"Anna Leonidovna Khachiyan is an American cultural critic, writer, and co-host of the Red Scare podcast with Dasha Nekrasova, based out of New York City",,,,,,
Truck,$TRCK,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Base,0x0238fde8d3949cd5a999e1305fb995889511e9b5,,,8/8/2024,,,,,,,,,,,,,,,CREATOR,,,,
Whitepaper,$WHITEPAPER,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Base,0x4F9994aD124bd84e6BD9C999A9424ab5c453b095,,,10/22/2024,,,,,,,,,,,,,,,CREATOR,,,,
Memorandum,$MEMO,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Base,0x6F266D0294EBF3Ca52576438fc6848038Db497e3,,,10/23/2024,,,,,,,,,,,,,,,CREATOR,,,,
Advertisement,$ADVERTISEMENT,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Base,0x566429C23DE79A3692e4662ac5eba31b4B70A90F,,,10/23/2024,,,,,,,,,,,,,,,CREATOR,,,,
Spot,$SPOT,Brian Armstrong,,,,,,,,,,,,,,,,,,https://x.com/brian_armstrong,Zora,0x4238Da6fB20e7bb286B53Ae680752Fc7cb272599,,,9/12/2024,,,,,,,,,,,,,,,,,,,
"Nairobi Sunset, Day 1",$SUNSET,Jesse Pollak,,,,,,,,,,,,,,,,,,https://x.com/jessepollak,Base,0x0b7f2f3b829fdedb98d623899f7fc75640fac25a,,,11/2/2024,,,,,This is the beginning of many creator tokens that Jesse minted on Zora.,,,,,,,,,,,,,,
Alex Becker's memecoin,no info yet,Alex Becker,,,,,,,,,,,,,,,,,,https://x.com/ZssBecker,,no info yet,,no info yet,no info yet,https://x.com/ZssBecker/status/1859246043113681038,,,Meme,,,,,,,,,,,,,,,
$$$,$$$,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Base,0x01aa2894773c091cc21a8880b3633ac173727440,,,11/7/2024,,,,,,,,,,,,$$$,,,CREATOR,,,,
No-ticker Coin (literally),$,Shl0ms,,,,,,,,,,,,,,,,,,https://x.com/SHL0MS,Solana,9qriMjPPAJTMCtfQnz7Mo9BsV2jAWTr2ff7yc3JWpump,,,10/18/2024,,,,,,,,,,,,no-ticker,,,CREATOR,,,,
mdudas,Af4F7EEccMWrkVAGAn4VYHpW1NP8VKnxCJHWRJrHpump,https://x.com/mdudas/status/1957536553116524622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superelmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achi family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the other cat art guy. log on to zora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeezy token,DrZ26cKJDksVRWib3DVVsjo9eeXccc7hKhDJviiYEEZY,insider trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balajis,$balajis,Balaji Srinivasan,,,,,,,,,,,,,,,,,,,,Base,0xcaf75598B8b9a6E645B60D882845d361F549f5EC,https://x.com/balajis,,,7/22/2025,https://zora.co/@balajis,,,,https://zora.co/@balajis,,,,,,,,,,,,
superelmer (zora creator coin),$SUPERELMER,Elmer Saflor,,,,,,,,,,,,,,,,,,,,BASE,0xa651bFeA6EE108184117Beb374Ad9C34c00545cB,https://x.com/superelmerds,,,,8/4/2025,,,,Creator of the Running Away Balloon meme,,,,,,,,,,,,
trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
