Meme,ID (MEME ID),Token (TOKEN ID),Token Proxy (TOKEN ID)
Awkward White People Smile,awkward-people,,feisty-doge
Bailey,bailey,bailey,
Baton Roue,baton,,feisty-doge
"Ben, the Huh Cat",huh-cat,huh-cat,
Doge,doge,doge,
Draw 25,draw-25,,feisty-doge
"Elon, I drew you!",elon-i-drew-you,elonrwa,
Feisty Doge,feisty-doge,feisty-doge,
Gigachad,gigachad,,feisty-doge
Grumpy cat,grumpy-cat,grumpy-cat,
Happy Cat,happy-cat,happy-cat,
Jumping on a rake,rake,,feisty-doge
Keyboard Cat,key-cat,key-cat,feisty-doge
Me Gusta,me-gusta,,feisty-doge
Mother Ignoring Kid Drowning In A Pool,mother-kid,,feisty-doge
"Oh No, It's Retarded",oh-no,,feisty-doge
Popeyes Kid,popeyes-kid,,feisty-doge
Raccoon Dancing in a Circle,raccon,,feisty-doge
Sminem,sminem,sminem,feisty-doge
Stonks,stonks,stonks,
The Silent Protector,silent-protector,,feisty-doge
Trojan Horse,trojan-horse,,feisty-doge
Unimpressed Nightclub Girl,nightclub,,feisty-doge
Walter,walter,walter,
You live like this?,you-live-like-this,,feisty-doge
Hide The Pain Harold,hide-the-pain,hide-the-pain,
Baby Shark,baby-shark,baby-shark,
